"Question","likert_categories","polling_data"
"Q01","Strongly Disagree",5
"Q01","Disagree",5
"Q01","Neutral",11
"Q01","Agree",21
"Q01","Strongly Agree",64
"Q02","Strongly Disagree",5
"Q02","Disagree",5
"Q02","Neutral",9
"Q02","Agree",19
"Q02","Strongly Agree",57
"Q03","Strongly Disagree",26.9
"Q03","Disagree",17
"Q03","Neutral",31.5
"Q03","Agree",24.6
"Q03","Strongly Agree",0
"Q04","Strongly Disagree",9
"Q04","Disagree",18
"Q04","Neutral",27
"Q04","Agree",23
"Q04","Strongly Agree",14
"Q05","Strongly Disagree",5
"Q05","Disagree",5
"Q05","Neutral",9
"Q05","Agree",18
"Q05","Strongly Agree",55
"Q06","Strongly Disagree",5
"Q06","Disagree",5
"Q06","Neutral",10
"Q06","Agree",20
"Q06","Strongly Agree",59
"Q07","Strongly Disagree",5
"Q07","Disagree",5
"Q07","Neutral",10
"Q07","Agree",19
"Q07","Strongly Agree",58
"Q08","Strongly Disagree",11
"Q08","Disagree",21
"Q08","Neutral",32
"Q08","Agree",27
"Q08","Strongly Agree",16
"Q09","Strongly Disagree",10
"Q09","Disagree",20
"Q09","Neutral",29
"Q09","Agree",24
"Q09","Strongly Agree",15
"Q10","Strongly Disagree",5
"Q10","Disagree",5
"Q10","Neutral",10
"Q10","Agree",20
"Q10","Strongly Agree",60
"Q11","Strongly Disagree",29.8
"Q11","Disagree",15.7
"Q11","Neutral",26.4
"Q11","Agree",28
"Q11","Strongly Agree",0
"Q12","Strongly Disagree",1.1
"Q12","Disagree",54.7
"Q12","Neutral",5
"Q12","Agree",39.2
"Q12","Strongly Agree",0
"Q13","Strongly Disagree",30.8
"Q13","Disagree",2.6
"Q13","Neutral",36.4
"Q13","Agree",30.2
"Q13","Strongly Agree",0
"Q14","Strongly Disagree",5
"Q14","Disagree",5
"Q14","Neutral",9
"Q14","Agree",19
"Q14","Strongly Agree",56
"Q15","Strongly Disagree",9
"Q15","Disagree",18
"Q15","Neutral",27
"Q15","Agree",23
"Q15","Strongly Agree",14
"Q16","Strongly Disagree",5
"Q16","Disagree",5
"Q16","Neutral",10
"Q16","Agree",19
"Q16","Strongly Agree",57
"Q17","Strongly Disagree",58
"Q17","Disagree",19
"Q17","Neutral",10
"Q17","Agree",5
"Q17","Strongly Agree",5
"Q18","Strongly Disagree",11
"Q18","Disagree",21
"Q18","Neutral",32
"Q18","Agree",27
"Q18","Strongly Agree",16
"Q19","Strongly Disagree",56
"Q19","Disagree",19
"Q19","Neutral",9
"Q19","Agree",5
"Q19","Strongly Agree",5
"Q20","Strongly Disagree",65
"Q20","Disagree",22
"Q20","Neutral",11
"Q20","Agree",5
"Q20","Strongly Agree",5
"Q21","Strongly Disagree",62
"Q21","Disagree",21
"Q21","Neutral",10
"Q21","Agree",5
"Q21","Strongly Agree",5
"Q22","Strongly Disagree",62
"Q22","Disagree",21
"Q22","Neutral",10
"Q22","Agree",5
"Q22","Strongly Agree",5
"Q23","Strongly Disagree",56
"Q23","Disagree",19
"Q23","Neutral",9
"Q23","Agree",5
"Q23","Strongly Agree",5
"Q24","Strongly Disagree",66
"Q24","Disagree",22
"Q24","Neutral",11
"Q24","Agree",5
"Q24","Strongly Agree",5
"Q25","Strongly Disagree",10
"Q25","Disagree",20
"Q25","Neutral",30
"Q25","Agree",25
"Q25","Strongly Agree",15
"Q26","Strongly Disagree",5.7
"Q26","Disagree",16.5
"Q26","Neutral",69.9
"Q26","Agree",7.9
"Q26","Strongly Agree",0
"Q27","Strongly Disagree",5
"Q27","Disagree",5
"Q27","Neutral",9
"Q27","Agree",19
"Q27","Strongly Agree",56
"Q28","Strongly Disagree",5
"Q28","Disagree",5
"Q28","Neutral",10
"Q28","Agree",20
"Q28","Strongly Agree",61
"Q29","Strongly Disagree",21.9
"Q29","Disagree",33.3
"Q29","Neutral",7.5
"Q29","Agree",37.3
"Q29","Strongly Agree",0
"Q30","Strongly Disagree",57
"Q30","Disagree",19
"Q30","Neutral",9
"Q30","Agree",5
"Q30","Strongly Agree",5
